QA Tester - Development,2K Vegas,Las Vegas, NV
QA Tester - Video Games,2K Vegas,Las Vegas, NV
QA Localization Tester - Italian Language,2K Vegas,Las Vegas, NV
QA Localization Tester - Castilian Spanish Language,2K Vegas,Las Vegas, NV
QA Localization Tester - French Language,2K Vegas,Las Vegas, NV
QA Localization Tester - German Language,2K Vegas,Las Vegas, NV
QA Localization Tester - Korean Language,2K Vegas,Las Vegas, NV
Covid-19 Tester (LPN/RN),BeeperMD,Las Vegas, NV
Digital Casino QA Tester,Caesars Digital,Las Vegas, NV
Penetration Tester (Mid to Senior),Accenture,Reno, NV
